MTPR from pot.mtp, Database: train.cfg
BFGS iterations count set to 1000
BFGS convergence tolerance set to 1e-08
Energy weight: 1
Force weight: 0.01
Stress weight: 0.001
BFGS iter 252: f=0.00172301
BFGS iter 253: f=0.00172164
BFGS iter 254: f=0.00172083
BFGS iter 255: f=0.00171982
BFGS iter 256: f=0.00171879
BFGS iter 257: f=0.0017178
BFGS iter 258: f=0.00171713
BFGS iter 259: f=0.00171653
BFGS iter 260: f=0.001716
BFGS iter 261: f=0.00171531
BFGS iter 262: f=0.00171474
BFGS iter 263: f=0.00171424
BFGS iter 264: f=0.00171389
BFGS iter 265: f=0.00171338
BFGS iter 266: f=0.00171295
BFGS iter 267: f=0.00171258
BFGS iter 268: f=0.00171224
BFGS iter 269: f=0.00171202
BFGS iter 270: f=0.00171181
BFGS iter 271: f=0.00171149
BFGS iter 272: f=0.00171101
BFGS iter 273: f=0.00171058
BFGS iter 274: f=0.00171016
BFGS iter 275: f=0.00170991
BFGS iter 276: f=0.00170968
BFGS iter 277: f=0.00170937
BFGS iter 278: f=0.00170892
BFGS iter 279: f=0.00170855
BFGS iter 280: f=0.00170825
BFGS iter 281: f=0.00170796
BFGS iter 282: f=0.00170738
BFGS iter 283: f=0.00170692
BFGS iter 284: f=0.00170647
BFGS iter 285: f=0.00170602
BFGS iter 286: f=0.0017058
BFGS iter 287: f=0.00170565
BFGS iter 288: f=0.00170551
BFGS iter 289: f=0.00170539
BFGS iter 290: f=0.00170523
BFGS iter 291: f=0.00170513
BFGS iter 292: f=0.00170502
BFGS iter 293: f=0.00170491
BFGS iter 294: f=0.00170473
BFGS iter 295: f=0.00170459
BFGS iter 296: f=0.00170446
BFGS iter 297: f=0.00170423
BFGS iter 298: f=0.00170404
BFGS iter 299: f=0.00170389
BFGS ended due to small decr. in 100 iterations
MTPR training ended
Rescaling...
   scaling = 0.0458275949318983, condition number = 34.6301551351978
   scaling = 0.0499937399257072, condition number = 36.8400273460853
   scaling = 0.0549931139182779, condition number = 31.8035299158484
   scaling = 0.0604924253101057, condition number = 32.3588738363112
   scaling = 0.0659917367019335, condition number = 26.8763559878941
Rescaling to 0.0659917367019335... done
Rescaling...
   scaling = 0.0549931139182779, condition number = 31.8035298996863
   scaling = 0.0599924879108487, condition number = 32.0643718244073
   scaling = 0.0659917367019335, condition number = 26.8763559300648
   scaling = 0.0725909103721269, condition number = 29.3484746737502
   scaling = 0.0791900840423202, condition number = 36.8540919616802
Rescaling to 0.0659917367019335... done

		* * * TRAIN ERRORS * * *

_________________Errors report_________________
Energy:
	Errors checked for 395 configurations
	Maximal absolute difference = 0.360419
	Average absolute difference = 0.0538092
	RMS     absolute difference = 0.0748185

Energy per atom:
	Errors checked for 395 configurations
	Maximal absolute difference = 0.0200233
	Average absolute difference = 0.0029894
	RMS     absolute difference = 0.00415658

Forces:
	Errors checked for 7110 atoms
	Maximal absolute difference = 0.363534
	Average absolute difference = 0.0588719
	RMS     absolute difference = 0.0735678
	Max(ForceDiff) / Max(Force) = 0.16112
	RMS(ForceDiff) / RMS(Force) = 0.102935

Stresses (in eV):
	Errors checked for 395 configurations
	Maximal absolute difference = 5.15347
	Average absolute difference = 2.29999
	RMS     absolute difference = 2.6082
	Max(StresDiff) / Max(Stres) = 138.483
	RMS(StresDiff) / RMS(Stres) = 155.963

Virial stresses (in GPa):
	Errors checked for 395 configurations
	Maximal absolute difference = 1.09081
	Average absolute difference = 0.488407
	RMS     absolute difference = 0.551642
	Max(StresDiff) / Max(Stres) = 119.996
	RMS(StresDiff) / RMS(Stres) = 160.364
_______________________________________________

